,NAV Date,NAV Price
19,27/08/2022,1.0037
20,26/08/2022,1.0028
21,25/08/2022,1.0011
22,24/08/2022,0.9909
23,23/08/2022,0.9936
24,22/08/2022,0.9928
25,21/08/2022,0.9978
26,20/08/2022,0.9978
27,19/08/2022,0.9978
28,18/08/2022,0.9964
29,17/08/2022,1.0
30,16/08/2022,1.0002
31,15/08/2022,0.998
32,14/08/2022,0.9949
33,13/08/2022,0.9949
34,12/08/2022,0.9949
35,11/08/2022,0.9969
36,10/08/2022,0.9899
37,09/08/2022,0.9906
38,08/08/2022,0.9921
39,07/08/2022,0.99
40,06/08/2022,0.99
41,05/08/2022,0.99
42,04/08/2022,0.9892
43,03/08/2022,0.9833
44,02/08/2022,0.9861
45,01/08/2022,0.9896
46,31/07/2022,0.9847
47,30/07/2022,0.9847
48,29/07/2022,0.9847
49,28/07/2022,0.9847
50,27/07/2022,0.9796
51,26/07/2022,0.979
52,25/07/2022,0.9782
53,24/07/2022,0.9769
54,23/07/2022,0.9769
55,22/07/2022,0.9769
56,21/07/2022,0.9745
57,20/07/2022,0.9707
58,19/07/2022,0.9671
59,18/07/2022,0.9681
60,17/07/2022,0.9649
61,16/07/2022,0.9649
62,15/07/2022,0.9649
63,14/07/2022,0.9677
64,13/07/2022,0.967
65,12/07/2022,0.9678
66,11/07/2022,0.9668
67,10/07/2022,0.9668
68,09/07/2022,0.9668
69,08/07/2022,0.9667
70,07/07/2022,0.9649
71,06/07/2022,0.9656
72,05/07/2022,0.9684
73,04/07/2022,0.9678
74,03/07/2022,0.972
75,02/07/2022,0.972
76,01/07/2022,0.972
77,30/06/2022,0.9743
78,29/06/2022,0.9746
79,28/06/2022,0.9752
80,27/06/2022,0.9717
81,26/06/2022,0.9788
82,25/06/2022,0.9788
83,24/06/2022,0.9787
84,23/06/2022,0.9741
85,22/06/2022,0.9766
86,21/06/2022,0.9803
87,20/06/2022,0.978
88,19/06/2022,0.9842
89,18/06/2022,0.9842
90,17/06/2022,0.9842
91,16/06/2022,0.9872
92,15/06/2022,0.9836
93,14/06/2022,0.9879
94,13/06/2022,0.9868
95,12/06/2022,0.996
96,11/06/2022,0.9959
97,10/06/2022,0.9959
98,09/06/2022,0.9996
99,08/06/2022,1.002
